"search_term_used","study_id","title","description","organism","relevance_score","url"
"vascular","GSE51535","Unliganded estrogen receptor alpha regulates vascular cell function and gene expression","Estrogen receptor alpha (ERa) has generally been thought to be transcriptionally inactive until it binds estrogen. Here we show that unliganded ERa, far from being transcriptionally inert, regulates a large number of genes both in vascular endothelial cells (ECs) and in mouse aorta. The genes regulated by unliganded ERa in the aorta (largely composed of smooth muscle cells) differ from those in ECs, and aorta- and EC-regulated promoters show enrichment in binding sites for distinct sets of trans...","Homo sapiens","33","https://osdr.nasa.gov/bio/repo/data/studies/GSE51535"
"cardiovascular","GSE28358","Gene expression changes in human peripheral blood mononuclear cells after 3 diet interventions, TMD enriched with olive oil, TMD enriched with nuts and Low fat diet.","Despite the benefits associated with healthy diets, data on the mechanisms by which these benefits are promoted are scarce. Our aim was to explore the global transcriptomic response of biological pathways related to cardiovascular disease associated with traditional Mediterranean diet (TMD) intervention. The PREDIMED study is a large on-going, parallel, multicentre, randomised, controlled trial aimed at assessing the TMD effect on primary cardiovascular prevention. High cardiovascular risk parti...","Homo sapiens","32","https://osdr.nasa.gov/bio/repo/data/studies/GSE28358"
"cardiovascular","GSE120099","Unveiling the Role of the Most Impactful Cardiovascular Risk Locus Through Haplotype Editing at Cell","The 9p21.3 cardiovascular disease locus is the most influential common genetic risk factor for coronary artery disease, accounting for ~10-15% of disease among non-African populations. The ~60kb risk haplotype is human-specific and lacks coding genes, hindering efforts to decipher its function. Genetic studies implicate the 9p21.3 locus and other risk genes to effects in the vascular wall. Here,  we use genome editing to delete the entire risk on non-risk haplotype from the genomes of human iPSC...","Homo sapiens","32","https://osdr.nasa.gov/bio/repo/data/studies/GSE120099"
"cardiovascular","PXD008385","Obesity-mediated regulation of the cardiac acetylome","Lysine residues undergo diverse and reversible post-translational modifications including acetylation. Acetylation of lysine residues have traditionally been studied as epigenetic modifiers of histone tails within chromatin that provides an important mechanism for regulating gene expression. In the heart, histone acetylation acts as a key regulator of cardiac remodeling and function. However, recent studies have shown that thousands of proteins (~4,500) can be acetylated at multiple acetylation ...","Mus musculus (Mouse)","32","https://osdr.nasa.gov/bio/repo/data/studies/PXD008385"
"cardiovascular","GSE135902","The Transcriptome Of Cmml Monocytes Is Highly Inflammatory And Reflects Leukemia-Specific And Age-Related Alterations","Chronic myelomonocytic leukemia (CMML) is an aggressive myeloid neoplasm of older individuals characterized by persistent monocytosis. Somatic mutations in CMML are heterogeneous and only partially explain the variability in clinical outcomes. Recent data suggest that cardiovascular morbidity is increased in CMML and contributes to reduced survival. Clonal hematopoiesis of indeterminate potential (CHIP), the presence of mutated blood cells in hematologically normal individuals, is a precursor of...","Homo sapiens","32","https://osdr.nasa.gov/bio/repo/data/studies/GSE135902"
"heart","GSE84796","Whole human genome expression analysis on left ventricular free wall heart tissue samples","Human left ventricular free wall heart tissue was obtained from end-stage heart failure patients at the moment of heart transplantation Left ventricular free wall samples were also obtained from healthy hearts of organ donors, which were not used for transplantation due to size mismatch with available recipients.","Homo sapiens","32","https://osdr.nasa.gov/bio/repo/data/studies/GSE84796"
"heart","GSE126571","Genome-wide fetalization of enhancer architecture in heart disease [ChIP-Seq]","Heart disease is associated with re-expression of key transcription factors normally active only during prenatal development of the heart.  However, the impact of this reactivation on the genome-wide regulatory landscape in heart disease has remained obscure.  Here we show that pervasive epigenomic changes occur in heart disease, with thousands of regulatory sequences reacquiring fetal-like chromatin signatures.  We used RNA-seq and ChIP-seq targeting a histone modification associated with activ...","Homo sapiens","32","https://osdr.nasa.gov/bio/repo/data/studies/GSE126571"
"heart","GSE126569","Genome-wide fetalization of enhancer architecture in heart disease [RNA-Seq]","Heart disease is associated with re-expression of key transcription factors normally active only during prenatal development of the heart.  However, the impact of this reactivation on the genome-wide regulatory landscape in heart disease has remained obscure.  Here we show that pervasive epigenomic changes occur in heart disease, with thousands of regulatory sequences reacquiring fetal-like chromatin signatures.  We used RNA-seq and ChIP-seq targeting a histone modification associated with activ...","Homo sapiens","32","https://osdr.nasa.gov/bio/repo/data/studies/GSE126569"
"blood pressure","GSE21321","Blood microRNA profiles and upregulation of hsa-miR-144 in males with type 2 diabetes mellitus.","Dysregulation in expression of microRNAs (miRNAs) in various tissues has been linked to a wide spectrum of diseases, including Type 2 Diabetes mellitus (T2D). In this study, we compared the expression profiles of miRNAs in blood samples from Impaired Fasting Glucose (IFG) and T2D male patients. Healthy adult males with no past history of T2D (n=158) and with desirable cholesterol and blood pressure profiles were enrolled in this study. They were then classified according to fasting glucose level...","Homo sapiens, JC polyomavirus, Simian virus 40, Human immunodeficiency virus 1, Mus musculus, Rattus norvegicus, BK polyomavirus, Murid herpesvirus 1, Murid herpesvirus 4, Human herpesvirus 1, Human herpesvirus 8, Human herpesvirus 4, Human herpesvirus 5","32","https://osdr.nasa.gov/bio/repo/data/studies/GSE21321"
"circulation","GSE131770","Human CD4+CD103+ cutaneous resident memory T cells are found in the circulation of healthy subjects","Tissue-resident memory T cells (TRM) persist locally in non-lymphoid tissues where they provide front-line defense against recurring insults. TRM at barrier surfaces express the markers CD103 and/or CD69 which function to retain them in epithelial tissues. In humans, neither the long-term migratory behavior of TRM nor their ability to re-enter the circulation and potentially migrate to distant tissue sites have been investigated. Using tissue explant cultures, we found that CD4+CD69+CD103+ TRM i...","Homo sapiens","32","https://osdr.nasa.gov/bio/repo/data/studies/GSE131770"
"circulation","PXD001020","Redox-state of pentraxin 3 as a novel biomarker for  resolution of inflammation and survival in sepsis","In an endotoxaemic mouse model of sepsis, a tissue-based proteomics approach for biomarker discovery identified long pentraxin 3 (PTX3) as the lead candidate for inflamed myocardium. PTX3 accumulated as an octamer due to disulphide-bond formation in heart, kidney and lung ?common organ dysfunctions seen in patients with sepsis. Oligomeric moieties of PTX3 were also detectable in the circulation. The redox-state of PTX3 was quantified over the first 11 days in critically ill adult patients with s...","Mus musculus (Mouse)","32","https://osdr.nasa.gov/bio/repo/data/studies/PXD001020"
"circulation","GSE98226","Gene expression of cardiac tissues in dietary obese mice administered with a dipeptidyl peptidase-4 inhibitor","Dipeptidyl peptidase-4 (Dpp4) inhibitors are used worldwide to combat diabetes, however, their roles in cardiovascular disorders are yet to be defined. Here we show that a DPP4 inhibitor, linagliptin, contributes for the suppression of capillary rarefaction in cardiac tissues of dietary obese mice model. Imposing a high fat diet into mice induced capillary rarefaction and cardiac dysfunction. These pathologies associated with high DPP4 level in circulation, and the administration of linagliptin ...","Mus musculus","32","https://osdr.nasa.gov/bio/repo/data/studies/GSE98226"
"human spaceflight","OSD-343","Comprehensive multi-omics analysis reveals mitochondrial stress as a central biological hub for spaceflight impact","Given the limited knowledge of the biological impact of spaceflight, a multi-omics, systems biology approach was used to investigate NASA’s GeneLab data and astronaut biomedical profiles. These data consist of hundreds of samples flown in space, human metrics from 59 astronauts, and confirmatory data from NASA’s Twin Study, analyzed together for consistent transcriptomic, proteomic, metabolomic, and epigenetic response to spaceflight. Pathway analysis showed significant enrichment of mitochondri...","M, u, s,  , m, u, s, c, u, l, u, s","32","https://osdr.nasa.gov/bio/repo/data/studies/OSD-343"
"cardiovascular","GSE30110","Cardiac gene expression analysis in porcine model of  heart failure","A gene expression topology of the developing, postnatal and diseased heart resulted in re-interpretation of ventricular remodeling in terms of rearrangement of key gene regulatory networks that are imbalanced, attenuated, or abnormally activated in the failing myocardium. The underlying principle, “Shaping the heart in development and disease” becomes a focus of current cardiovascular research with the goal of developing innovative diagnostic and therapeutic strategies to combat cardiovascular d...","Sus scrofa","31","https://osdr.nasa.gov/bio/repo/data/studies/GSE30110"
"blood pressure","GSE19817","Gene expression profiling of hypertensive and hypotensive mice","Hypertension is a condition with major cardiovascular and renal complications, affecting nearly a billion patients worldwide. Few validated gene targets are available for pharmacological intervention, so there is a need to identify new biological pathways regulating blood pressure and containing novel targets for treatment. The genetically hypertensive “blood pressure high” (BPH), normotensive  “blood pressure normal” (BPN),  and hypotensive ""blood pressure low"" (BPL) inbred mouse strains are an...","Mus musculus","31","https://osdr.nasa.gov/bio/repo/data/studies/GSE19817"
"blood pressure","PXD000605","The human plasma proteome before and after remote ischemic preconditioning","Six healthy male adults underwent RIPC, consisting of 3x5 min cycles of upper arm ischemia (inflating a blood pressure cuff to >200 mmHg) alternating with 3x5 min reperfusion (bp cuff deflated). Blood samples were collected at baseline and at 1 and 4 min into each reperfusion period. Plasma was isolated and the six reperfusion samples were pooled to one RIPC sample. Both baseline and RIPC samples were depleted, concentrated, trypsin digested, iTRAQ labeled and analyzed by LC and Orbitrap-MS wher...","Homo sapiens (Human)","31","https://osdr.nasa.gov/bio/repo/data/studies/PXD000605"
"blood pressure","GSE63087","Expression of viral and human microRNAs in blood in The Beijing Truck Driver Air Pollution Study (BTDAS)","MicroRNAs (miRNAs) are post-transcriptional suppressors of gene expression and potential mediators of environmental effects.  In addition to human miRNAs, viral miRNAs expressed from latent viral sequences are detectable in human cells. We will use this dataset to investigate associations between air pollution exposures and clinical outcomes (such as lung function, blood pressure, etc.)","Homo sapiens","31","https://osdr.nasa.gov/bio/repo/data/studies/GSE63087"
"blood pressure","GSE104530","Endothelial Transcriptome Remodeling in a Mouse Model of Chronic Hypertension","Aims: Hypertension poses a significant challenge to vasculature homeostasis and stands as the most common cardiovascular disease in the world.  Its effects are especially profound on vasculature-lining endothelial cells that are directly exposed to the effects of excess pressure. Here, we characterize the in vivo transcriptomic response of cardiac endothelial cells to hypertension using the spontaneous hypertension mouse model BPH/2J.    Methods and results: Verification of defective endothelial...","Mus musculus","31","https://osdr.nasa.gov/bio/repo/data/studies/GSE104530"
"blood pressure","GSE129935","RNA sequencing human monocytes","Aim: Results: To improve risk stratification in patients with stable coronary artery disease (CAD), we aimed to identify genes in monocytes predictive of new ischemic events in patients with CAD and determine to what extent expression of these transcripts resembles expression in acute myocardial infarction (AMI). COX10 and ZNF484 distinguished between AMI and the whole group of stable CAD patients with an accuracy of 90%. COX10 and ZNF484 together with MT-COI and WNK1 distinguished AMI patients ...","Homo sapiens","31","https://osdr.nasa.gov/bio/repo/data/studies/GSE129935"
"circulation","GSE17470","Global gene expression of NASH patients","Background & Aims: Little is known about the molecular pathophysiology of non-alcoholic steatohepatitis (NASH).  Methods: Total RNA from NASH livers and normal healthy livers were analyzed on a whole genome DNA oligo microarray.  The microarray data were validated by real-time quantitative PCR analysis for many of the genes of interest.  Results: Genes related to liver inflammation and fibrosis were found to be elevated in NASH livers compared to normal livers.  The most striking finding is the ...","Homo sapiens","31","https://osdr.nasa.gov/bio/repo/data/studies/GSE17470"
"circulation","GSE121063","The effects of Zoledronate on human peripheral blood mononuclear cells","Zoledronate is well known to act on osteoclasts to inhibit bone resorption.Zoledronate is administrated intravenously in clinical use, however,  actions of zoledronate on cells in blood circulation are not fully understood. To understand its actions of human peripheral blood mononuclear cells (h-PBMC), we performed gene expression profiling in zoledronate-treated h-PBMC.","Homo sapiens","31","https://osdr.nasa.gov/bio/repo/data/studies/GSE121063"
"circulation","GSE113098","Functional separation of IL7Rα/KLRG1-defined CD8+ T cell populations in humans","During acute viral infections in mice, IL-7Rα and KLRG1 together are used to distinguish the short-lived effector cells (SLEC; IL-7RαloKLRGhi) from the precursors of persisting memory cells (MPEC; IL-7RαhiKLRG1lo). We here show that these markers can be used to define distinct subsets in the circulation and lymph nodes during the acute phase and in ‘steady state’ in humans. In contrast to the T cells in the circulation, T cells derived from lymph nodes hardly contain any KLRG1-expressing cells. ...","Homo sapiens","31","https://osdr.nasa.gov/bio/repo/data/studies/GSE113098"
"human spaceflight","GSE4136","Yeast Genomic Expression Patterns in Response to Low-Shear Modeled Microgravity","genomic expression patterns using the powerful tool of whole genome microarray hybridization. We determined clues to potential mechanisms involved in the response to, adaptation to, and survival of eukaryotic cells in a microgravity environment and our findings may have important health implications for human spaceflight. that were grown for 5 generations or 25 generations in HARVs. We identified genes in cell wall integrity signaling significantly to LSMMG are involved in a general environmenta...","Saccharomyces cerevisiae, Schizosaccharomyces pombe","31","https://osdr.nasa.gov/bio/repo/data/studies/GSE4136"
"human spaceflight","OSD-12","Transcription profiling of S. cerevisiae cultures grown under low shear-modeled microgravity","The goal of this study was to assess whether low shear-modeled microgravity (LSMMG) affects yeast genomic expression patterns using the powerful tool of whole genome microarray hybridization. We determined changes in the yeast model organism, Saccharomyces cerevisisae, when grown in LSMMG using the rotating High Aspect Ratio Vessel (HARV). A significant number of genes were up- or down-regulated by at least two fold in cells that were grown for 5 generations or 25 generations in HARVs. We identi...","S, a, c, c, h, a, r, o, m, y, c, e, s,  , c, e, r, e, v, i, s, i, a, e","31","https://osdr.nasa.gov/bio/repo/data/studies/OSD-12"
"space medicine","OSD-51","Woman skeletal muscle transcriptome with bed rest and countermeasures.","Microgravity has a dramatic impact on human physiology, illustrated in particular with skeletal muscle impairment. A thorough understanding of the mechanisms leading to loss of muscle mass and structural disorders is necessary for the definition of efficient clinical and spaceflight countermeasures. We investigated the effects of long-term bed rest on transcriptome of soleus (SOL) and vastus lateralis (VL) muscles in healthy women (BRC group, n equals 8), and the potential beneficial impact of p...","H, o, m, o,  , s, a, p, i, e, n, s","31","https://osdr.nasa.gov/bio/repo/data/studies/OSD-51"
"cardiovascular","GSE49235","Real-time quantitative PCR analysis of microRNA expression in neonatal and adult cardiovascular progenitors","Human cardiovascular stem cells were isolated from adult (57-75 year old) and neonatal (<1 month old) atrial tissue.  Cardiovascular stem cells were then cloned by single cell dilution and compared using sabiosciences cell development & differentiation miRNA PCR array.","Homo sapiens","30","https://osdr.nasa.gov/bio/repo/data/studies/GSE49235"
"cardiovascular","GSE103253","Early- and late-onset preeclampsia and the tissue-specific epigenome of the placenta and newborn","Introduction. Preeclampsia (PE) carries increased risks of cardiovascular- and metabolic diseases in mothers and offspring during the life course. While the severe early-onset PE (EOPE) phenotype originates from impaired placentation in early pregnancy, late-onset PE (LOPE) is in particular associated with pre-existing maternal cardiovascular- and metabolic risk factors. We hypothesize that PE is associated with altered epigenetic programming of placental and fetal tissues and that these epigene...","Homo sapiens","30","https://osdr.nasa.gov/bio/repo/data/studies/GSE103253"
"cardiovascular","PXD006298","TMT-FASP-LC-MS analysis of human pediatric omental biopsies","Cardiovascular disease (CVD) is exceedingly severe in patients with chronic kidney disease (CKD) and further aggravated by peritoneal dialysis (PD), exposing the patients to excessive amounts of intraperitoneal glucose. Children are devoid of pre-existing CVD and give insight into specific uremia and PD induced pathomechanisms.  Fat surrounded omental arterioles beyond PD fluid penetration level were microdissected from uremic children at time of first PD catheter insertion (n=8), children on PD...","Homo sapiens (Human)","30","https://osdr.nasa.gov/bio/repo/data/studies/PXD006298"
"cardiovascular","GSE110563","Real-time quantitative PCR analysis of human cardiovascular progenitor cells flown aboard the International Space Station","This SuperSeries is composed of the SubSeries listed below.","Homo sapiens","30","https://osdr.nasa.gov/bio/repo/data/studies/GSE110563"
"heart","PXD005362","Increased Hemodynamic Load in Early Embryonic Stages Alters Endocardial to Mesenchymal Transition","Normal blood flow is essential for proper heart formation during embryonic development, as abnormal hemodynamic load (blood pressure and shear stress) results in cardiac defects seen in congenital heart disease. However, the progressive detrimental remodeling processes that relate altered blood flow to cardiac defects remain unclear. Outflow tract banding was used to increase hemodynamic load in the chicken embryo heart between Hamburger and Hamilton stages 18 and 24. Increased hemodynamic load ...","Gallus gallus (Chicken)","30","https://osdr.nasa.gov/bio/repo/data/studies/PXD005362"
"blood pressure","GSE3874","Endothelial cell diversity revealed by global expression profiling","The vascular system is locally specialized to accommodate widely varying blood flow and pressure and the distinct needs of individual tissues. The endothelial cells (ECs) that line the lumens of blood and lymphatic vessels play an integral role in the regional specialization of vascular structure and physiology. However, our understanding of EC diversity is limited. To explore EC specialization on a global scale, we used DNA microarrays to determine the expression profile of 53 cultured ECs. We ...","Homo sapiens","30","https://osdr.nasa.gov/bio/repo/data/studies/GSE3874"
"circulation","PXD006371","Multiple Extracellular Vesicle Types in Peritoneal Dialysis Effluent are Prominent and Contain Known Biomarkers","Proteomics-based analysis of  Peritoneal Dialysis Effluent is a relatively new approach to studying the changes associated with PD. Recent studies have shown altered proteomic profiles in various conditions of PD patients, including uremia, diabetes, peritonitis, abnormal peritoneal transport function and with different peritoneal dialysis modality. However, these studies extracted proteins in PDE by precipitation techniques resulting in high abundant diffusible proteins from blood circulation w...","Homo sapiens (Human)","30","https://osdr.nasa.gov/bio/repo/data/studies/PXD006371"
"circulation","GSE57526","Expression data from TGRL lipolysis products treated human brain microvascular endothelial cells","Lipotoxicity is a metabolic disorder that results from accumulation of lipids, particularly fatty acids, in non-adipose tissue leading to cellular dysfunction, lipid droplet formation, and cell death. Our studies indicate for the first time that the neurovascular circulation also can manifest lipotoxicity, which could have major effects on cognitive function. The penetration of integrative systems biology approaches is limited in this area of research, which reduces our capacity to gain an objec...","Homo sapiens","30","https://osdr.nasa.gov/bio/repo/data/studies/GSE57526"
"astronaut health","OSD-500","Altered Quorum Sensing and Physiology of Staphylococcus aureus During Spaceflight Detected by Multi-omics Data Analysis (BRIC-23: Secretomics)","Staphylococcus aureus colonizes the nares of approximately 30% of humans, a risk factor for opportunistic infections. Because of the potential threat of S. aureus to astronaut health, the effect of spaceflight conditions on this pathogen is of great interest. To gain insight into the virulence potential of S. aureus in the spaceflight environment, we performed differential expression (DE) analysis of RNA-Seq and cellular proteomics data from the “Biological Research in Canisters-23” (BRIC-23) Ge...","S, t, a, p, h, y, l, o, c, o, c, c, u, s,  , a, u, r, e, u, s","30","https://osdr.nasa.gov/bio/repo/data/studies/OSD-500"
"human spaceflight","GSE103605","Effects of 14 days of confinement on blood gene expression profiles in men","The effects of short-term confinement on gene expression profiles in blood were evaluated. Fourteen days confinement study was conducted 3 times. In each experiment, 8 male subjects were stayed in an isolation and confinement facility at Japan Aerospace Exploration Agency. DNA microarray of extracted RNA from whole blood samples revealed that the expression levels of 3,659 genes were significantly altered by the 14-day confinement. The changes in gene expression profiles were not exactly the sam...","Homo sapiens","30","https://osdr.nasa.gov/bio/repo/data/studies/GSE103605"
"cardiovascular","PXD005465","THE ATHEROMA PLAQUE SECRETOME STIMULATES THE MOBILIZATION OF ENDOTHELIAL PROGENITOR CELLS EX VIVO","in this study we evaluated the initial response promoted by the atherosclerotic plaque (AP) secreted factors over healthy endothelial progenitor cells (EPCs), in order to understand the mechanisms underlying the neovascularization and vascular remodeling properties assigned to these cells and to use them as cell therapy in cardiovascular diseases.","Homo sapiens (Human)","29","https://osdr.nasa.gov/bio/repo/data/studies/PXD005465"
"cardiovascular","GSE49925","Gene expression profiles associated with acute myocardial infarction and risk of cardiovascular death","Whole peripheral blood samples collected into Paxgene tubes from 338 adult participants in the Emory University Cardiovascular Biobank, in Midtown Atlanta.  The sample is of mixed cardiovascular function diversity, and is part of a survey of the impact of status of cardiovascular disease on gene expression and clinical attributes. Sample annotations only include gender and proofed ethnicity for purposes of IRB, as well as technical features of the study (plate, phase of study, and RNA quality RI...","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE49925"
"cardiovascular","GSE53675","MiRNA-expression based, individualized outcome prediction for the cardiovascular disease patients","Individualized outcome prediction classifiers were successfully constructed through expression profiling of a total of 2,500 miRNAs in 13 cardiovascular disease patients and 5 healthy controls","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE53675"
"cardiovascular","GSE47874","The Heritage (HEalth, RIsk factors, exercise Training And GEnetics) family study","The overall objective of the heritage project is to study the role of the genotype in cardiovascular,metabolic and hormonal responses to aerobic exercise training and the contribution of regular exercise to changes in several cardiovascular disease and diabetes risk factors.","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE47874"
"cardiovascular","GSE102202","TBX5-Clover2/NKX2-5-TagRFP iPSCs for simultaneously isolating human lineage-specific cardiovascular cells","We develop a method for purification of four discrete cardiovascular lineages derived from human indued pluriopotent stem cells. We used RNAseq to identify the gene signuature of different lineages at early differentiation stages.","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE102202"
"cardiovascular","GSE71356","Intermittent Hypoxia Alters Gene Expression in Peripheral Blood Mononuclear Cells (PBMC) of Healthy Volunteers","Intermittent hypoxia (IH) of obstructive sleep apnea (OSA) has been implicated in cardiovascular morbidity and mortality1. Although underlying mechanisms of the cardiovascular risk in OSA are not well defined, experiments in cell culture and animal models suggest that IH up-regulates pro-inflammatory genes that can promote atherosclerosis and insulin resistance. We hypothesized that short-term IH (5 h) will induce pro-inflammatory genes in healthy volunteers","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE71356"
"cardiovascular","GSE110685","Low density granulocytes and their gene signature associate with vascular inflammation and coronary atheroclerosis in systemic lupus erythematosus patients","Patients with systemic lupus erythematosus (SLE) display an increased risk of cardiovascular disease that is not fully explained by traditional risk factors. This study correlated RNA sequencing data from whole blood of patients with SLE and healthy controls with markers of cardiovascular risk including coronary plaque measured by CT angiogram and vascular inflammation by FDG-PET CT.","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE110685"
"cardiovascular","GSE46263","Studies on mature endothelial cells; exploring  mechanisms for improvement of cardiovascular diseases","Transcriptomic analysis of primary human umbilical vein endothelial cells (HUVEC). HUVEC were treated in vitro with CoCl2 to induce hypoxia, high glucose and high glucose plus hypoxia in different intervals (1, 3, 12 hours). Subsequently, the effect of metformin (anti-diabetic drug) on all conditions was studied to take advantage of transcriptomics to prospectively explore the mechanism of this drug to reduce the risk of cardiovascular diseases in type II diabetic patients.","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE46263"
"cardiovascular","GSE54989","A protein network of common susceptibility genes provides a link in the genetic architecture of chronic inflammation and cardiovascular disease","Genome-wide association studies (GWAS) have identified hundreds of susceptibility loci for chronic and inflammatory disease phenotypes in humans. There is increasing evidence that chronic inflammation is a crucial driver in the pathogenesis of cardiovascular diseases (CVD), which may be genetically determined. To understand the genetic architecture underlying chronic inflammation and CVD we performed a systematic analysis of (1) common risk alleles coming from published GWAS, (2) of protein-prot...","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE54989"
"cardiovascular","GSE45986","A transcriptomic analysis of a Caucasian family cohort of high risks for the metabolic syndrome [HumanWG-6 v3.0]","Metabolic Syndrome (MetS) is a strong predictor for diabetes and cardiovascular disease and is defined by a constellation of phenotypes including increased and adverse body fat distribution, insulin resistance, abnormalities in lipids and lipoproteins, malfunctional cardiovascular performance, and abnormal levels of adipokines and cytokines. We assayed in a subset of our family cohort phentoyped for MetS phentoypes, the genome-wde transcript levels using the Illumina Human WG-6 v3 expression arr...","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE45986"
"cardiovascular","GSE45792","A transcriptomic analysis of a Caucasian family cohort of high risks for the metabolic syndrome [HumanWG-6 v2.0]","Metabolic Syndrome (MetS) is a strong predictor for diabetes and cardiovascular disease and is defined by a constellation of phenotypes including increased and adverse body fat distribution, insulin resistance, abnormalities in lipids and lipoproteins, malfunctional cardiovascular performance, and abnormal levels of adipokines and cytokines. We assayed in a subset of our family cohort phentoyped for MetS phentoypes, the genome-wde transcript levels using the Illumina Human WG-6 v2 expression arr...","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE45792"
"cardiovascular","GSE66427","New molecular insights into modulation of platelet reactivity in aspirin-treated patients using a network-based approach [NanoString]","Platelet reactivity (PR) in cardiovascular (CV) patients is variable between individuals and modulates clinical outcome. However, the determinants of platelet reactivity are largely unknown. Integration of data derived from high-throughput omics technologies may yield novel insights into the molecular mechanisms that govern platelet reactivity. The aim of this study was to identify candidate genes modulating platelet reactivity in aspirin-treated cardiovascular patients PR was assessed in 110 CV...","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE66427"
"cardiovascular","GSE66426","New molecular insights into modulation of platelet reactivity in aspirin-treated patients using a network-based approach [Affymetrix]","Platelet reactivity (PR) in cardiovascular (CV) patients is variable between individuals and modulates clinical outcome. However, the determinants of platelet reactivity are largely unknown. Integration of data derived from high-throughput omics technologies may yield novel insights into the molecular mechanisms that govern platelet reactivity. The aim of this study was to identify candidate genes modulating platelet reactivity in aspirin-treated cardiovascular patients PR was assessed in 110 CV...","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE66426"
"cardiovascular","GSE50758","Gene expression from pericytes and endothelial cells","Aims: Vascular wall resident stem cells (SCs) hold great promise for cardiovascular regenerative therapy. This study evaluated the impact of oxidative stress on the viability and functionality of saphenous vein'derived pericytes (SVPs), SVPs'deriv ed cells and terminally differentiated vascular cells. We also investigated the molecular mechanisms underlying the SVP resistance to oxidative stress. Results: SVPs exhibit a significantly higher resistance to oxidative stress resulting in reduced apo...","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE50758"
"cardiovascular","PXD001099","Piezo1 integration of vascular architecture with physiological force LC-MSMS","The mechanisms by which physical forces regulate cells to determine complexities of vascular structure and function are enigmatic. Here we show the role the ion channel subunit Piezo1 (FAM38A). Disruption of mouse Piezo1 gene disturbed vascular development and was embryonic lethal within days of the heart beating to cause blood flow. Importance of Piezo channels as sensors of blood flow was indicated by Piezo1 dependence of shear stress-evoked ionic current and calcium influx in endothelial cell...","Homo sapiens (Human)","29","https://osdr.nasa.gov/bio/repo/data/studies/PXD001099"
"heart","PXD008934","Characterization of proteomic changes in human heart failure","The microtubule (MT) cytoskeleton can provide a mechanical resistance that can impede the motion of contracting cardiomyocytes.  Yet a role of the MT network in human heart failure is unexplored.  Here we utilize mass spectrometry to characterize changes to the cytoskeleton in human heart failure. Proteomic analysis of left ventricle tissue reveals a consistent upregulation and stabilization of intermediate filaments and MTs in human heart failure. This dataset includes left ventricular (LV) myo...","Homo sapiens (Human)","29","https://osdr.nasa.gov/bio/repo/data/studies/PXD008934"
"heart","PXD012593","TranslationalLandscape_HumanHeart","Here, we analyze the expression of predicted microproteins in human heart tissue and iPSC cardiomyocytes, using shot-gun proteomics and SRM. 4 identified candidates were functionally validated by interactome studies using AP-MS (affinity purification coupled to mass spectrometry). In addition, the impact of disease-causing protein-truncating variants on translation was studied in rat heart tissue by performing shot-gun proteomics.","Homo sapiens (Human), Rattus norvegicus (Rat)","29","https://osdr.nasa.gov/bio/repo/data/studies/PXD012593"
"heart","PXD009870","Proteomics of JHS samples identifies proteins associated with heart failure","RELEVANCE: Identifying early plasma protein biomarkers that predict the development of heart failure (HF) following myocardial infarction (MI) will help to stratify at risk subjects and provide insight into more effective therapeutic strategies. OBJECTIVE/HYPOTHESIS: The goal of this study was to determine markers of HF in African Americans, using plasma samples collected before the development of symptoms. We propose that early plasma glycoprotein changes will link to later development of heart...","Homo sapiens (Human)","29","https://osdr.nasa.gov/bio/repo/data/studies/PXD009870"
"heart","GSE111544","Whole human genome expression analysis on left ventricular free wall heart tissue samples (Dilated Cardiomyopathy)","Human left ventricular free wall heart tissue was obtained from end-stage heart failure patients at the moment of heart transplantation","Homo sapiens","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE111544"
"heart","GSE32587","Large-Scale Discovery of Enhancers from Human Heart Tissue","Development and function of the human heart depend on the dynamic control of tissue-specific gene expression by distant-acting transcriptional enhancers.  While large numbers of heart enhancers have been identified using the mouse as a model system, many of these regulatory sequences are poorly conserved in the human genome.  To generate an accurate genome-wide map of human heart enhancers, we used an epigenomic enhancer discovery approach and identified ~6,200 candidate enhancer sequences direc...","Homo sapiens, Mus musculus","29","https://osdr.nasa.gov/bio/repo/data/studies/GSE32587"
